source	target	relation	source_group	target_group	reason	file
ir_abannaean	ir_aquitani	positive	ir_numidian_g	ir_iberia_g	group_positive	ir_numidian_g.txt
ir_abannaean	ir_atarantian	positive	ir_numidian_g	ir_fezzani_g	group_positive	ir_numidian_g.txt
ir_abannaean	ir_autolalean	kindred	ir_numidian_g	ir_numidian_g	same_group_kindred	ir_numidian_g.txt
ir_abannaean	ir_egyptian	positive	ir_numidian_g	ir_north_african_g	group_positive	ir_numidian_g.txt
ir_abannaean	ir_jaintia	positive	ir_numidian_g	ir_pu_g	group_positive	ir_numidian_g.txt
ir_abannaean	ir_socossian	kindred	ir_numidian_g	ir_numidian_g	same_group_kindred	ir_numidian_g.txt
ir_abasgoi	ir_albanian	kindred	ir_caucasian_g	ir_caucasian_g	same_group_kindred	ir_caucasian_g.txt
ir_abasgoi	ir_armenian	positive	ir_caucasian_g	ir_anatolian_g	group_positive	ir_caucasian_g.txt
ir_abasgoi	ir_suani	kindred	ir_caucasian_g	ir_caucasian_g	same_group_kindred	ir_caucasian_g.txt
ir_abrian	ir_achaean	positive	ir_illyrian_group_g	ir_hellenic_g	group_positive	ir_illyrian_group_g.txt
ir_abrian	ir_bithynian	positive	ir_illyrian_group_g	ir_thrace_group_g	group_positive	ir_illyrian_group_g.txt
ir_abrian	ir_bruttian	positive	ir_illyrian_group_g	ir_latin_g	group_positive	ir_illyrian_group_g.txt
ir_abrian	ir_catari	kindred	ir_illyrian_group_g	ir_illyrian_group_g	same_group_kindred	ir_illyrian_group_g.txt
ir_abrian	ir_galatian	positive	ir_illyrian_group_g	ir_celto_pannonian_group_g	group_positive	ir_illyrian_group_g.txt
ir_abrian	ir_taulantian	kindred	ir_illyrian_group_g	ir_illyrian_group_g	same_group_kindred	ir_illyrian_group_g.txt
ir_achaean	ir_abrian	positive	ir_hellenic_g	ir_illyrian_group_g	group_positive	ir_hellenic_g.txt
ir_achaean	ir_aegean	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_achaean	ir_armenian	positive	ir_hellenic_g	ir_anatolian_g	group_positive	ir_hellenic_g.txt
ir_achaean	ir_bithynian	positive	ir_hellenic_g	ir_thrace_group_g	group_positive	ir_hellenic_g.txt
ir_achaean	ir_bruttian	positive	ir_hellenic_g	ir_latin_g	group_positive	ir_hellenic_g.txt
ir_achaean	ir_troan	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_adabulian	ir_aksumite	positive	ir_nilotic_group_g	ir_aksumite_group_g	group_positive	ir_nilotic_group_g.txt
